Date,Latte,Cappuccino,Red Bull,Water
1/1/15,36,50,27,14
1/2/15,53,73,0,2
1/3/15,33,74,9,0
1/4/15,45,42,30,24
1/5/15,96,20,33,15
1/6/15,41,79,3,46
1/7/15,31,48,39,28
1/8/15,95,61,31,39
1/9/15,26,15,5,20
1/10/15,63,95,40,40
1/11/15,14,99,50,
1/12/15,12,12,16,1
1/13/15,99,16,38,2
1/14/15,1,83,6,21
1/15/15,65,37,26,18
1/16/15,38,52,47,43
1/17/15,71,51,28,19
1/18/15,73,72,50,45
1/19/15,66,62,34,11
1/20/15,21,56,18,45
1/21/15,21,1,25,41
1/22/15,4,89,4,13
1/23/15,27,54,20,46
1/24/15,70,52,44,6
1/25/15,48,50,,39
1/26/15,73,32,20,20
1/27/15,30,75,16,49
1/28/15,55,82,31,40
1/29/15,37,59,50,30
1/30/15,,99,47,9
1/31/15,23,21,45,48
2/1/15,94,7,25,16
2/2/15,83,5,27,3
2/3/15,46,57,11,28
2/4/15,51,36,29,36
2/5/15,98,11,8,35
2/6/15,18,63,16,23
2/7/15,55,42,49,29
2/8/15,33,78,42,40
2/9/15,86,29,19,5
2/10/15,40,28,10,22
2/11/15,5,29,28,18
2/12/15,63,54,26,12
2/13/15,78,39,13,50
2/14/15,5,76,48,8
2/15/15,1,54,18,23
2/16/15,26,95,21,1
2/17/15,23,19,45,26
2/18/15,34,97,38,47
2/19/15,50,76,23,26
2/20/15,33,94,,25
2/21/15,92,79,15,47
2/22/15,95,86,24,35
2/23/15,71,6,46,14
2/24/15,,80,36,45
2/25/15,32,95,27,46
2/26/15,32,84,28,16
2/27/15,55,100,19,
2/28/15,49,7,15,3
3/1/15,2,5,30,39
3/2/15,33,2,50,27
3/3/15,4,22,45,49
3/4/15,60,90,30,18
3/5/15,55,72,22,41
3/6/15,24,86,14,42
3/7/15,,65,25,33
3/8/15,61,30,48,22
3/9/15,14,99,24,38
3/10/15,50,48,28,11
3/11/15,63,8,28,28
3/12/15,81,43,18,5
3/13/15,53,83,32,13
3/14/15,63,59,9,2
3/15/15,74,30,48,43
3/16/15,39,0,4,21
3/17/15,0,32,3,12
3/18/15,70,45,5,
3/19/15,21,7,48,36
3/20/15,58,25,10,34
3/21/15,14,36,43,36
3/22/15,75,27,47,35
3/23/15,15,15,9,41
3/24/15,18,44,39,48
3/25/15,99,70,45,15
3/26/15,50,3,22,50
3/27/15,57,96,43,47
3/28/15,65,37,14,50
3/29/15,61,56,36,39
3/30/15,43,51,31,19
3/31/15,57,51,14,50
4/1/15,27,60,8,18
4/2/15,30,65,1,49
4/3/15,44,96,48,43
4/4/15,2,30,29,34
4/5/15,43,13,29,28
4/6/15,81,56,14,25
4/7/15,41,47,46,13
4/8/15,90,59,40,16
4/9/15,46,81,31,27
4/10/15,88,20,15,9
4/11/15,27,0,24,1
4/12/15,,,,
4/13/15,73,2,37,11
4/14/15,86,95,8,40
4/15/15,24,28,39,49
4/16/15,43,24,14,28
4/17/15,28,34,37,4
4/18/15,32,30,10,1
4/19/15,17,7,38,30
4/20/15,21,10,6,4
4/21/15,25,77,47,41
4/22/15,9,89,41,
4/23/15,96,1,47,2
4/24/15,56,51,45,27
4/25/15,70,57,39,15
4/26/15,99,28,5,46
4/27/15,89,50,49,44
4/28/15,69,64,40,29
4/29/15,20,97,19,16
4/30/15,45,96,44,3
